v1,v2
ham,Hello there! How are you doing today?
ham,Are we still meeting for lunch at 2 pm?
spam,Congratulations! You have won $1000. Click here to claim your prize.
ham,Can you send me the project report by evening?
spam,You have been selected for a free vacation. Reply YES to claim.
ham,Don't forget to bring your ID card for tomorrow's meeting.
spam,Win a brand new iPhone by entering this lucky draw now!
ham,Let’s have a call later to discuss the new updates.
spam,Get instant loans up to ₹1,00,000. Apply now!
ham,Your payment has been successfully processed.
spam,This is your last chance to claim the reward. Act now!
ham,Please review the attached document and share feedback.
